gsis_id,player,position,team,year_signed,years,fa_year,apy,total_value,total_guaranteed,guarantee_pct,draft_round,draft_overall,draft_year,inflated_apy
00-0026158,Joe Flacco,QB,Bengals,2026,1.0,2027.0,6000000.0,6000000.0,4000000.0,0.6666666666666666,1.0,18.0,2008.0,6.0
00-0026300,Josh Johnson,QB,Bengals,2026,1.0,2027.0,1500000.0,1500000.0,200000.0,0.13333333333333333,5.0,160.0,2008.0,1.5
00-0026498,Matt Stafford,QB,Rams,2025,2.0,2027.0,40000000.0,80000000.0,40000000.0,0.5,1.0,1.0,2009.0,43.151862
00-0027973,Andy Dalton,QB,PHI/CAR,2026,1.0,2027.0,3500000.0,3500000.0,3500000.0,1.0,2.0,35.0,2011.0,3.5
00-0028986,Case Keenum,QB,Bears,2026,2.0,2028.0,2750000.0,5500000.0,2900000.0,0.5272727272727272,,,2012.0,2.75
00-0030506,Travis Kelce,TE,Chiefs,2026,1.0,2027.0,12000000.0,12000000.0,12000000.0,1.0,3.0,63.0,2013.0,12.0
00-0030565,Geno Smith,QB,Jets,2026,1.0,2027.0,3300000.0,3300000.0,3300000.0,1.0,2.0,39.0,2013.0,3.3
00-0031381,Davante Adams,WR,Rams,2025,2.0,2027.0,22000000.0,44000000.0,26000000.0,0.5909090909090909,2.0,53.0,2014.0,23.733524
00-0031408,Mike Evans,WR,49ers,2026,3.0,2029.0,14166667.0,42500000.0,14300000.0,0.33647058823529413,1.0,7.0,2014.0,14.166667
00-0031484,Chris Manhertz,TE,Giants,2026,1.0,2027.0,1487500.0,1487500.0,262500.0,0.17647058823529413,,,2014.0,1.4875
00-0031503,Jameis Winston,QB,Giants,2025,2.0,2027.0,4000000.0,8000000.0,5250000.0,0.65625,1.0,1.0,2015.0,4.315186
00-0032208,Phillip Dorsett,WR,Raiders,2026,1.0,2027.0,1300000.0,1300000.0,0.0,0.0,1.0,29.0,2015.0,1.3
00-0032268,Marcus Mariota,QB,Commanders,2026,1.0,2027.0,7000000.0,7000000.0,6390000.0,0.9128571428571428,1.0,2.0,2015.0,7.0
00-0032392,Austin Hooper,TE,Falcons,2026,1.0,2027.0,3250000.0,3250000.0,2740000.0,0.8430769230769232,3.0,81.0,2016.0,3.25
00-0032464,Kalif Raymond,WR,Bears,2026,1.0,2027.0,3500000.0,3500000.0,3000000.0,0.8571428571428571,,,2016.0,3.5
00-0032764,Derrick Henry,RB,Ravens,2025,2.0,2027.0,15000000.0,30000000.0,25000000.0,0.8333333333333334,2.0,45.0,2016.0,16.181948
00-0032775,Demarcus Robinson,WR,49ers,2025,2.0,2027.0,4000000.0,8000000.0,6000000.0,0.75,4.0,126.0,2016.0,4.315186
00-0032950,Carson Wentz,QB,Vikings,2026,1.0,2027.0,3000000.0,3000000.0,2645000.0,0.8816666666666667,1.0,2.0,2016.0,3.0
00-0032951,Laquon Treadwell,WR,Colts,2026,1.0,2027.0,1487500.0,1487500.0,437500.0,0.29411764705882354,1.0,23.0,2016.0,1.4875
00-0033077,Dak Prescott,QB,Cowboys,2024,4.0,2028.0,60000000.0,240000000.0,129000000.0,0.5375,4.0,135.0,2016.0,70.759593
