player_id,season,season_type,passing_yards,passing_tds,interceptions,attempts,completions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,games,fantasy_points_ppr,playoff_passing_yards,playoff_passing_tds,playoff_interceptions,playoff_rushing_yards,playoff_rushing_tds,playoff_receiving_yards,playoff_receiving_tds,playoff_receptions,playoff_targets,playoff_games,playoff_fantasy_points,made_playoffs,passing_yards_adj,passing_tds_adj,interceptions_adj,attempts_adj,completions_adj,rushing_yards_adj,rushing_tds_adj,carries_adj,receiving_yards_adj,receiving_tds_adj,receptions_adj,targets_adj,fantasy_points_ppr_adj,passing_yards_pg,passing_tds_pg,interceptions_pg,attempts_pg,completions_pg,rushing_yards_pg,rushing_tds_pg,carries_pg,receiving_yards_pg,receiving_tds_pg,receptions_pg,targets_pg,fantasy_points_ppr_pg,games_played_pct,player_name,age,draft_number,years_exp,seasons,career_games,career_playoffs,career_playoff_games,career_playoff_passing_yards,career_playoff_rushing_yards,career_playoff_receiving_yards,career_playoff_passing_tds,career_playoff_rushing_tds,career_playoff_receiving_tds,career_playoff_receptions,peak_passing_yards,peak_passing_tds,peak_rushing_yards,peak_rushing_tds,peak_receiving_yards,peak_receiving_tds,peak_receptions,peak_targets,peak_passing_yards_adj,peak_passing_tds_adj,peak_rushing_yards_adj,peak_rushing_tds_adj,peak_receiving_yards_adj,peak_receiving_tds_adj,peak_receptions_adj,best_passing_yards_pg,best_passing_tds_pg,best_rushing_yards_pg,best_rushing_tds_pg,best_receiving_yards_pg,best_receiving_tds_pg,best_receptions_pg,avg_passing_yards_pg,avg_rushing_yards_pg,avg_receiving_yards_pg,avg_receptions_pg,avg_games_played_pct,min_games_played_pct,age_bucket,gsis_id,player,team,year_signed,years,fa_year,apy,total_value,total_guaranteed,guarantee_pct,draft_round,draft_overall,draft_year,inflated_apy,position
00-0026498,2024,REG,3762.0,20,8.0,517,340,41.0,0,30,0.0,0,0,0,16,214.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3762.0,20.0,8.0,517.0,340.0,41.0,0.0,30.0,0.0,0.0,0.0,0.0,214.58,235.125,1.25,0.5,32.3125,21.25,2.5625,0.0,1.875,0.0,0.0,0.0,0.0,13.41125,0.9411764705882353,Matthew Stafford,36.0,1.0,15,4,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4886.0,41,65.0,1,0.0,0,0,0,4886.0,41.0,65.0,1.8888888888888888,0.0,0.0,0.0,287.4117647058824,2.411764705882353,4.333333333333333,0.1111111111111111,0.0,0.0,0.0,254.68974673202615,2.606311274509804,0.0,0.0,0.8382352941176471,0.5294117647058824,veteran,00-0026498,Matt Stafford,Rams,2025,2.0,2027.0,40000000.0,80000000.0,40000000.0,0.5,1.0,1.0,2009.0,43.151862,QB
00-0030506,2024,REG,0.0,0,0.0,0,0,1.0,0,1,823.0,3,97,133,16,195.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,823.0,3.0,97.0,133.0,195.4,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,51.4375,0.1875,6.0625,8.3125,12.2125,0.9411764705882353,Travis Kelce,34.0,63.0,11,4,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1,1338.0,12,110,152,0.0,0.0,5.0,1.0,1338.0,12.0,110.0,0.0,0.0,0.29411764705882354,0.0625,78.70588235294117,0.7058823529411765,6.470588235294118,0.0,0.1360294117647059,66.5139705882353,6.12077205882353,0.9411764705882353,0.8823529411764706,veteran,00-0030506,Travis Kelce,Chiefs,2026,1.0,2027.0,12000000.0,12000000.0,12000000.0,1.0,3.0,63.0,2013.0,12.0,TE
00-0030565,2024,REG,4320.0,21,15.0,578,407,272.0,2,53,0.0,0,0,0,17,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4320.0,21.0,15.0,578.0,407.0,272.0,2.0,53.0,0.0,0.0,0.0,0.0,266.0,254.11764705882354,1.2352941176470589,0.8823529411764706,34.0,23.941176470588236,16.0,0.11764705882352941,3.1176470588235294,0.0,0.0,0.0,0.0,15.647058823529411,1.0,Geno Smith,33.0,39.0,11,4,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,30,366.0,2,0.0,0,1,1,4320.0,30.0,366.0,4.25,0.0,0.0,1.0,254.11764705882354,1.7647058823529411,21.529411764705884,0.25,0.0,0.0,0.06666666666666667,230.775,14.590686274509805,-0.03333333333333333,0.016666666666666666,0.7794117647058824,0.23529411764705882,late_prime,00-0030565,Geno Smith,Jets,2026,1.0,2027.0,3300000.0,3300000.0,3300000.0,1.0,2.0,39.0,2013.0,3.3,QB
00-0031381,2024,REG,0.0,0,0.0,0,0,0.0,0,0,1063.0,8,85,141,14,241.29999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,8.0,85.0,141.0,241.29999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.92857142857143,0.5714285714285714,6.071428571428571,10.071428571428571,17.235714285714284,0.8235294117647058,Davante Adams,31.0,53.0,10,4,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1553.0,14,123,180,0.0,0.0,0.0,0.0,1553.0,14.0,123.0,0.0,0.0,0.0,0.0,97.0625,0.8235294117647058,7.6875,0.0,-0.014705882352941176,82.36541491596638,6.425026260504202,0.9411764705882353,0.8235294117647058,late_prime,00-0031381,Davante Adams,Rams,2025,2.0,2027.0,22000000.0,44000000.0,26000000.0,0.5909090909090909,2.0,53.0,2014.0,23.733524,WR
00-0031408,2024,REG,0.0,0,0.0,0,0,0.0,0,0,1004.0,11,74,110,14,240.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,11.0,74.0,110.0,240.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.71428571428571,0.7857142857142857,5.285714285714286,7.857142857142857,17.17142857142857,0.8235294117647058,Mike Evans,31.0,7.0,10,4,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,0,1255.0,14,79,136,0.0,0.0,10.0,0.0,1255.0,14.0,79.0,0.0,0.0,0.625,0.0,74.93333333333334,0.875,5.285714285714286,0.0,0.15625,71.28966211484594,4.922776610644258,0.9117647058823529,0.8235294117647058,late_prime,00-0031408,Mike Evans,49ers,2026,3.0,2029.0,14166667.0,42500000.0,14300000.0,0.33647058823529413,1.0,7.0,2014.0,14.166667,WR
00-0031503,2024,REG,2121.0,13,12.0,296,181,83.0,1,25,0.0,0,0,0,11,131.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3277.909090909091,20.09090909090909,18.545454545454547,457.45454545454544,279.72727272727275,128.27272727272728,1.5454545454545454,38.63636363636363,0.0,0.0,0.0,0.0,202.67090909090908,192.8181818181818,1.1818181818181819,1.0909090909090908,26.90909090909091,16.454545454545453,7.545454545454546,0.09090909090909091,2.272727272727273,0.0,0.0,0.0,0.0,11.92181818181818,0.6470588235294118,Jameis Winston,30.0,1.0,9,4,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121.0,14,166.0,1,0.0,0,0,0,4862.0,34.0,403.1428571428571,2.4285714285714284,0.0,0.0,0.0,286.0,2.0,23.714285714285715,0.14285714285714285,0.0,0.0,0.0,172.49025974025972,8.8982683982684,0.0,0.0,0.3970588235294118,0.17647058823529413,late_prime,00-0031503,Jameis Winston,Giants,2025,2.0,2027.0,4000000.0,8000000.0,5250000.0,0.65625,1.0,1.0,2015.0,4.315186,QB
00-0032392,2024,REG,0.0,0,0.0,0,0,0.0,0,0,476.0,3,45,59,17,108.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,3.0,45.0,59.0,108.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.17647058823529413,2.6470588235294117,3.4705882352941178,6.3882352941176475,1.0,Austin Hooper,29.0,81.0,8,4,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,476.0,3,45,61,0.0,0.0,0.0,0.0,476.0,3.0,45.0,0.0,0.0,0.0,0.0,28.0,0.2,2.6470588235294117,0.0,0.0,22.935661764705884,2.2886642156862744,0.9558823529411764,0.8823529411764706,prime,00-0032392,Austin Hooper,Falcons,2026,1.0,2027.0,3250000.0,3250000.0,2740000.0,0.8430769230769232,3.0,81.0,2016.0,3.25,TE
00-0032464,2024,REG,0.0,0,0.0,0,0,0.0,0,2,215.0,2,17,22,10,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,365.5,3.4,28.9,37.4,96.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,21.5,0.2,1.7,2.2,5.65,0.5882352941176471,Kalif Raymond,30.0,,8,4,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75.0,0,616.0,4,48,71,0.0,0.0,75.0,0.0,616.0,4.0,48.0,0.0,0.0,4.411764705882353,0.0,38.5,0.25,3.0,0.0,2.1029411764705883,31.191176470588236,2.424080882352941,0.8676470588235294,0.5882352941176471,late_prime,00-0032464,Kalif Raymond,Bears,2026,1.0,2027.0,3500000.0,3500000.0,3000000.0,0.8571428571428571,,,2016.0,3.5,WR
00-0032764,2024,REG,0.0,0,0.0,0,0,1921.0,16,325,193.0,2,19,22,17,336.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1921.0,16.0,325.0,193.0,2.0,19.0,22.0,336.40000000000003,0.0,0.0,0.0,0.0,0.0,113.0,0.9411764705882353,19.11764705882353,11.352941176470589,0.11764705882352941,1.1176470588235294,1.2941176470588236,19.788235294117648,1.0,Derrick Henry,30.0,45.0,8,4,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2,1921.0,16,398.0,2,33,41,14.0,2.125,1991.125,21.25,398.0,2.0,38.25,0.8235294117647058,0.125,117.125,1.25,24.875,0.11764705882352941,2.25,0.42463235294117646,98.72426470588235,17.016544117647058,1.7693014705882353,0.8529411764705882,0.47058823529411764,late_prime,00-0032764,Derrick Henry,Ravens,2025,2.0,2027.0,15000000.0,30000000.0,25000000.0,0.8333333333333334,2.0,45.0,2016.0,16.181948,RB
00-0032775,2024,REG,0.0,0,0.0,0,0,0.0,0,0,505.0,7,31,64,17,123.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,7.0,31.0,64.0,123.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.705882352941178,0.4117647058823529,1.8235294117647058,3.764705882352941,7.264705882352941,1.0,Demarcus Robinson,29.0,126.0,8,4,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,0,505.0,7,48,75,0.0,0.0,48.875,0.0,788.375,8.5,55.25,0.0,0.0,2.875,0.0,46.375,0.5,3.25,0.0,0.71875,30.89075630252101,2.464810924369748,0.8088235294117647,0.47058823529411764,prime,00-0032775,Demarcus Robinson,49ers,2025,2.0,2027.0,4000000.0,8000000.0,6000000.0,0.75,4.0,126.0,2016.0,4.315186,WR
